rid;metadata
ec50c9cd-1b2c-4e0a-9c56-ef6cf2d43421;../fake-data/blob/hipster.txt
db07e664-5b66-4185-ac86-8e7f364a41c1;../fake-data/blob/hipster.txt
15986748-bc3b-4d05-ac62-6109dbf9e379;../fake-data/blob/hipster.txt
6b8d6007-b3ed-431e-ae58-aacdfd617dde;../fake-data/blob/hipster.txt
8f6cdabc-646e-4841-9a86-971a5031529c;../fake-data/blob/hipster.txt
b7461617-15fa-45e1-ae4f-4f51f81c79bc;../fake-data/blob/hipster.txt
868da34e-1134-415d-9991-60015c4b07f2;../fake-data/blob/hipster.txt
fdd77b2a-1db9-474a-b13b-371fa67014f5;../fake-data/blob/hipster.txt
2dfbfa81-98de-49a6-9f57-6a1738adea56;../fake-data/blob/hipster.txt
14bb1376-88e5-4afd-8731-badcfe6e240e;../fake-data/blob/hipster.txt
